page,title,total_internal_outbound_links,total_internal_outbound_links_to_crawled_pages,total_internal_inbound_links,depth_from_homepage,is_orphan_page,has_lt_5_inbound_links,has_gt_50_outbound_links,holiday_primary_category,holiday_inferred_tags,structural_weakness_score,authority_hub_score
/holiday/grab-some-nuts-day/,Grab Some Nuts Day — Obscure Holiday Calendar,27,27,10,2,no,no,no,fun_weird_general,fun_weird_general,4,12.24
/holiday/groundhog-day/,Groundhog Day — Obscure Holiday Calendar,27,27,8,2,no,no,no,fun_weird_general,fun_weird_general,4,10.24
/holiday/gumbo-day/,Gumbo Day — Obscure Holiday Calendar,27,27,6,2,no,no,no,fun_weird_general,fun_weird_general,4,8.24
/holiday/gumdrop-day/,Gumdrop Day — Obscure Holiday Calendar,27,27,11,2,no,no,no,fun_weird_general,fun_weird_general,4,13.24
/holiday/gummy-worm-day/,Gummy Worm Day — Obscure Holiday Calendar,27,27,6,2,no,no,no,fun_weird_general,fun_weird_general,4,8.24
/holiday/guy-fawkes-day/,Guy Fawkes Day — Obscure Holiday Calendar,27,27,8,2,no,no,no,fun_weird_general,fun_weird_general,4,10.24
/holiday/haiku-poetry-day/,Haiku Poetry Day — Obscure Holiday Calendar,27,27,9,2,no,no,no,arts_culture,arts_culture,4,11.24
/holiday/halloween/,Halloween — Obscure Holiday Calendar,27,27,9,2,no,no,no,seasonal_holidays,seasonal_holidays,4,11.24
/holiday/happiness-happens-day/,Happiness Happens Day — Obscure Holiday Calendar,27,27,15,2,no,no,no,wellness_lifestyle,wellness_lifestyle,4,17.24
/holiday/happy-hour-day/,Happy Hour Day — Obscure Holiday Calendar,27,27,12,2,no,no,no,fun_weird_general,fun_weird_general,4,14.24
/holiday/have-a-bad-day-day/,Have a Bad Day Day — Obscure Holiday Calendar,27,27,11,2,no,no,no,fun_weird_general,fun_weird_general,4,13.24
/holiday/have-a-bagel-day/,Have a Bagel Day — Obscure Holiday Calendar,27,27,9,2,no,no,no,fun_weird_general,fun_weird_general,4,11.24
/holiday/have-a-party-with-your-bear-day/,Have a Party with Your Bear Day — Obscure Holiday Calendar,27,27,11,2,no,no,no,arts_culture,arts_culture,4,13.24
/holiday/hermit-day/,Hermit Day — Obscure Holiday Calendar,27,27,8,2,no,no,no,fun_weird_general,fun_weird_general,4,10.24
/holiday/hobbit-day/,Hobbit Day — Obscure Holiday Calendar,27,27,9,2,no,no,no,fun_weird_general,fun_weird_general,4,11.24
/holiday/homemade-bread-day/,Homemade Bread Day — Obscure Holiday Calendar,27,27,11,2,no,no,no,food_drink,food_drink,4,13.24
/holiday/houseplant-appreciation-day/,Houseplant Appreciation Day — Obscure Holiday Calendar,27,27,12,2,no,no,no,animals_nature,animals_nature,4,14.24
/holiday/hug-a-bear-day/,Hug a Bear Day — Obscure Holiday Calendar,27,27,8,2,no,no,no,fun_weird_general,fun_weird_general,4,10.24
/holiday/hug-holiday-day/,Hug Holiday Day — Obscure Holiday Calendar,27,27,9,2,no,no,no,fun_weird_general,fun_weird_general,4,11.24
/holiday/hug-your-cat-day/,Hug Your Cat Day — Obscure Holiday Calendar,27,27,11,2,no,no,no,animals_nature,animals_nature,4,13.24
/holiday/human-rights-day/,Human Rights Day — Obscure Holiday Calendar,27,27,10,2,no,no,no,awareness_advocacy,awareness_advocacy,4,12.24
/holiday/i-forgot-day/,I Forgot Day — Obscure Holiday Calendar,27,27,12,2,no,no,no,fun_weird_general,fun_weird_general,4,14.24
/holiday/i-need-a-patch-for-that-day/,I Need a Patch for That Day — Obscure Holiday Calendar,27,27,11,2,no,no,no,fun_weird_general,fun_weird_general,4,13.24
/holiday/ice-cream-cone-day/,Ice Cream Cone Day — Obscure Holiday Calendar,27,27,6,2,no,no,no,food_drink,food_drink,4,8.24
/holiday/ides-of-march/,Ides of March — Obscure Holiday Calendar,27,27,10,2,no,no,no,fun_weird_general,fun_weird_general,4,12.24
/holiday/indian-pudding-day/,Indian Pudding Day — Obscure Holiday Calendar,27,27,9,2,no,no,no,fun_weird_general,fun_weird_general,4,11.24
/holiday/inspire-your-heart-with-art-day/,Inspire Your Heart With Art Day — Obscure Holiday Calendar,27,27,6,2,no,no,no,arts_culture,arts_culture,4,8.24
/holiday/international-bionic-man-day/,International Bionic Man Day — Obscure Holiday Calendar,27,27,9,2,no,no,no,fun_weird_general,fun_weird_general,4,11.24
/holiday/international-birdhouse-day/,International Birdhouse Day — Obscure Holiday Calendar,27,27,11,2,no,no,no,animals_nature,animals_nature,4,13.24
/holiday/international-civil-aviation-day/,International Civil Aviation Day — Obscure Holiday Calendar,27,27,11,2,no,no,no,fun_weird_general,fun_weird_general,4,13.24
/holiday/international-coffee-day/,International Coffee Day — Obscure Holiday Calendar,27,27,11,2,no,no,no,food_drink,food_drink,4,13.24
/holiday/international-day-of-awesomeness/,International Day of Awesomeness — Obscure Holiday Calendar,27,27,7,2,no,no,no,fun_weird_general,fun_weird_general,4,9.24
/holiday/international-day-of-forests/,International Day of Forests — Obscure Holiday Calendar,27,27,12,2,no,no,no,animals_nature,animals_nature,4,14.24
/holiday/international-day-of-happiness/,International Day of Happiness — Obscure Holiday Calendar,27,27,11,2,no,no,no,wellness_lifestyle,wellness_lifestyle,4,13.24
/holiday/international-fairy-day/,International Fairy Day — Obscure Holiday Calendar,27,27,11,2,no,no,no,fun_weird_general,fun_weird_general,4,13.24
/holiday/international-goof-off-day/,International Goof Off Day — Obscure Holiday Calendar,27,27,9,2,no,no,no,fun_weird_general,fun_weird_general,4,11.24
/holiday/international-human-solidarity-day/,International Human Solidarity Day — Obscure Holiday Calendar,27,27,8,2,no,no,no,fun_weird_general,fun_weird_general,4,10.24
/holiday/international-joke-day/,International Joke Day — Obscure Holiday Calendar,27,27,7,2,no,no,no,fun_weird_general,fun_weird_general,4,9.24
/holiday/international-kissing-day/,International Kissing Day — Obscure Holiday Calendar,27,27,11,2,no,no,no,fun_weird_general,fun_weird_general,4,13.24
/holiday/international-left-handers-day/,International Left-Handers Day — Obscure Holiday Calendar,27,27,10,2,no,no,no,fun_weird_general,fun_weird_general,4,12.24
/holiday/international-lego-day/,International LEGO Day — Obscure Holiday Calendar,27,27,5,2,no,no,no,fun_weird_general,fun_weird_general,4,7.24
/holiday/international-mountain-day/,International Mountain Day — Obscure Holiday Calendar,27,27,8,2,no,no,no,fun_weird_general,fun_weird_general,4,10.24
/holiday/international-ninja-day/,International Ninja Day — Obscure Holiday Calendar,27,27,9,2,no,no,no,fun_weird_general,fun_weird_general,4,11.24
/holiday/international-no-diet-day/,International No Diet Day — Obscure Holiday Calendar,27,27,6,2,no,no,no,fun_weird_general,fun_weird_general,4,8.24
/holiday/international-poetry-day/,International Poetry Day — Obscure Holiday Calendar,27,27,11,2,no,no,no,arts_culture,arts_culture,4,13.24
/holiday/international-polar-bear-day/,International Polar Bear Day — Obscure Holiday Calendar,27,27,11,2,no,no,no,fun_weird_general,fun_weird_general,4,13.24
