date,name,category,emoji,floating
02-23,Curling Day (Sweden),Fun & Weird (uncategorized),🥌,False
02-23,National Banana Bread Day,Food & Drink,🍌,False
02-24,National Tortilla Chip Day,Food & Drink,🌮,False
02-24,World Bartender Day,Fun & Weird (uncategorized),🍸,False
02-25,International Bionic Man Day,Fun & Weird (uncategorized),🤖,False
02-25,National Clam Chowder Day,Food & Drink,🥣,False
02-26,Left Sock Day,Wellness & Self-Care,🧦,False
02-26,Pistachio Day,Food & Drink,🥜💚,False
02-27,International Polar Bear Day,Animals & Nature,🐻‍❄️,False
02-27,National Strawberry Day,Food & Drink,🍓,False
02-28,Floral Design Day,Arts & Culture,💐,False
02-28,Nylon Invention Day,"Science, History & Curiosities",🧵,False
02-29,Leap Day,Seasonal & Calendar,🐸,False
02-29,Superman's Birthday,Arts & Culture,🦸‍♂️,False
03-01,National Peanut Butter Lover's Day,Food & Drink,🥜,False
03-01,National Pig Day,Animals & Nature,🐷,False
03-02,Dr. Seuss Day,Arts & Culture,🎩,False
03-02,Old Stuff Day,Fun & Weird (uncategorized),🕰️,False
03-03,National Anthem Day,Arts & Culture,🇺,False
03-03,World Wildlife Day,Animals & Nature,🐘,False
03-04,March Forth Day,Fun & Weird (uncategorized),➡,False
03-04,National Grammar Day,"Science, History & Curiosities",✍,False
03-05,International Birdhouse Day,Fun & Weird (uncategorized),🏡,False
03-05,Learn What Your Name Means Day,Fun & Weird (uncategorized),📚,False
03-06,Oreo Cookie Day,Food & Drink,🍪,False
03-06,World Mathematics Day,"Science, History & Curiosities",📐,False
03-07,Alexander Graham Bell Day,Food & Drink,📞,False
03-07,National Cereal Day,Food & Drink,🥣,False
03-08,Be Nasty Day,Fun & Weird (uncategorized),😈,False
03-08,International Women's Day,Arts & Culture,♀,False
03-09,Get Over It Day,Fun & Weird (uncategorized),🚶‍♂️,False
03-09,International Day of Awesomeness,Fun & Weird (uncategorized),✨,False
03-10,First Greenback Day,"Science, History & Curiosities",💵,False
03-10,National Mario Day,Arts & Culture,🍄,False
03-11,National Promposal Day,Arts & Culture,💖,False
03-11,Worship of Tools Day,Fun & Weird (uncategorized),🔧,False
03-12,Girl Scout Day,Kindness & Relationships,🌲,False
03-12,Plant a Flower Day,Animals & Nature,🌸,False
03-13,Good Samaritan Day,Kindness & Relationships,🤝,False
03-13,National Earmuff Day,Fun & Weird (uncategorized),🎧,False
03-14,Doodle Day,Arts & Culture,🎨,False
03-14,Pi Day,"Science, History & Curiosities",π,False
03-15,Ides of March,Seasonal & Calendar,🗡,False
03-15,World Contact Day,Fun & Weird (uncategorized),👽,False
03-16,International Potato Chip Day,Food & Drink,🥔,False
03-16,National Panda Day,Animals & Nature,🐼,False
03-17,St. Patrick's Day,Seasonal & Calendar,🍀,False
03-17,Submarine Day,"Science, History & Curiosities",🚢,False
03-18,Awkward Moments Day,Fun & Weird (uncategorized),😬,False
03-18,National Sloppy Joe Day,Food & Drink,🍔,False
03-19,National Let's Laugh Day,Arts & Culture,😂,False
03-19,Poultry Day,Food & Drink,🐔,False
03-20,International Day of Happiness,Wellness & Self-Care,😊,False
03-20,National Alien Abduction Day,Fun & Weird (uncategorized),👽,False
03-21,International Day of Forests,Animals & Nature,🌳,False
03-21,International Poetry Day,"Science, History & Curiosities",📜,False
03-22,International Goof Off Day,Fun & Weird (uncategorized),🤪,False
03-22,World Frog Day,Animals & Nature,🐸,False
03-23,National Puppy Day,Animals & Nature,🐶,False
03-23,Near Miss Day,Fun & Weird (uncategorized),🚨,False
03-24,Chocolate Covered Raisin Day,Food & Drink,🍫,False
03-24,National Cocktail Day,Food & Drink,🍹,False
03-25,Tolkien Reading Day,"Science, History & Curiosities",📖,False
03-25,Waffle Day,Food & Drink,🧇,False
03-26,International Trampoline Day,Fun & Weird (uncategorized),🤸,False
03-26,Make Up Your Own Holiday Day,Arts & Culture,💡,False
03-27,National Joe Day,Fun & Weird (uncategorized),☕,False
03-27,World Theatre Day,Arts & Culture,🎭,False
03-28,Respect Your Cat Day,Animals & Nature,🐱,False
03-28,Something on a Stick Day,Fun & Weird (uncategorized),🍢,False
03-29,Piano Day,Arts & Culture,🎹,False
03-29,Smoke and Mirrors Day,"Science, History & Curiosities",✨,False
03-30,Cacti Appreciation Day,Kindness & Relationships,🌵,False
03-30,Virtual Vacation Day,Fun & Weird (uncategorized),🌍,False
03-31,National Crayon Day,Work & Technology,🖍,False
03-31,World Backup Day,Work & Technology,💾,False
04-01,April Fools' Day,Seasonal & Calendar,😂,False
04-01,One Cent Day,"Science, History & Curiosities",🪙,False
04-02,National Ferret Day,Animals & Nature,🐾,False
04-02,National Peanut Butter and Jelly Day,Food & Drink,🥪,False
04-03,Find a Rainbow Day,Animals & Nature,🌈,False
04-03,World Party Day,Arts & Culture,🎉,False
04-04,Tell a Lie Day,Fun & Weird (uncategorized),🤥,False
04-04,World Rat Day,Animals & Nature,🐀,False
04-05,Deep Dish Pizza Day,Food & Drink,🍕,False
04-05,Go for Broke Day,Fun & Weird (uncategorized),🎯,False
04-06,New Beer's Eve,Food & Drink,🍺,False
04-06,Tartan Day,Seasonal & Calendar,🏴󠁧󠁢󠁳󠁣󠁴󠁿,False
04-07,National Beer Day,Food & Drink,🍺,False
04-07,No Housework Day,Wellness & Self-Care,🛋️,False
04-08,Draw a Picture of a Bird Day,Animals & Nature,🐦,False
04-08,Zoo Lovers Day,Kindness & Relationships,🦁,False
04-09,Name Yourself Day,Arts & Culture,🏷️,False
04-09,Unicorn Day,Fun & Weird (uncategorized),🦄,False
04-10,National Cinnamon Crescent Day,Food & Drink,🥐,False
04-10,National Siblings Day,Kindness & Relationships,👫,False
04-11,Barbershop Quartet Day,Arts & Culture,🎤,False
04-11,National Pet Day,Animals & Nature,🐾,False
04-12,Big Wind Day,Fun & Weird (uncategorized),🌬️,False
04-12,National Grilled Cheese Sandwich Day,Food & Drink,🧀,False
04-13,National Make Lunch Count Day,Fun & Weird (uncategorized),🥪,False
04-13,National Scrabble Day,Animals & Nature,🔡,False
04-14,Dolphin Day,Animals & Nature,🐬,False
04-14,Look Up at the Sky Day,Animals & Nature,☁️,False
04-15,National Laundry Day,Fun & Weird (uncategorized),🧺,False
04-15,Rubber Eraser Day,Work & Technology,✏️,False
04-16,Day of the Mushroom,Animals & Nature,🍄,False
04-16,Wear Your Pajamas to Work Day,Food & Drink,😴,False
04-17,Blah Blah Blah Day,Fun & Weird (uncategorized),💬,False
04-17,Haiku Poetry Day,"Science, History & Curiosities",📝,False
04-18,National Animal Crackers Day,Food & Drink,🦒,False
04-18,National High-Five Day,Kindness & Relationships,✋,False
04-19,Bicycle Day,"Science, History & Curiosities",🚲,False
04-19,National Garlic Day,Food & Drink,🧄,False
04-20,Lima Bean Respect Day,Food & Drink,🫘,False
04-20,Look Alike Day,Arts & Culture,👯,False
04-21,Bulldogs Are Beautiful Day,Animals & Nature,🐶,False
04-21,National Tea Day,Food & Drink,🍵,False
04-22,National Jelly Bean Day,Food & Drink,🍬,False
04-22,National Picnic Day,Food & Drink,🧺,False
04-23,Lover's Day,Kindness & Relationships,🌹,False
04-23,Talk Like Shakespeare Day,Food & Drink,📜,False
04-24,Pig in a Blanket Day,Fun & Weird (uncategorized),🌭,False
04-24,Sauvignon Blanc Day,Food & Drink,🥂,False
04-25,National Zucchini Bread Day,Food & Drink,🍞,False
04-25,World Penguin Day,Animals & Nature,🐧,False
04-26,Get Organized Day,Wellness & Self-Care,📋,False
04-26,National Pretzel Day,Food & Drink,🥨,False
04-27,Morse Code Day,"Science, History & Curiosities",📡,False
04-27,National Prime Rib Day,Food & Drink,🥩,False
04-28,National Cubicle Day,Work & Technology,🏢,False
04-28,Superhero Day,Arts & Culture,🦸,False
04-29,Shrimp Scampi Day,Animals & Nature,🍤,False
04-29,Zipper Day,Fun & Weird (uncategorized),🔗,False
04-30,Bubble Tea Day,Food & Drink,🧋,False
04-30,National Oatmeal Cookie Day,Food & Drink,🍪,False
05-01,Lei Day,Seasonal & Calendar,🌺,False
05-01,May Day,Seasonal & Calendar,🌸,False
05-02,Fire Day,Fun & Weird (uncategorized),🔥,False
05-02,World Tuna Day,Food & Drink,🐟,False
05-03,National Two Different Colored Shoes Day,Fun & Weird (uncategorized),👟,False
05-03,Paranormal Day,Fun & Weird (uncategorized),👻,False
05-04,International Respect for Chickens Day,Food & Drink,🐔,False
05-04,Star Wars Day,Arts & Culture,⭐,False
05-05,Cinco de Mayo,Food & Drink,🇲🇽,False
05-05,Oyster Day,Food & Drink,🦪,False
05-06,Beverage Day,Food & Drink,🥤,False
05-06,International No Diet Day,Wellness & Self-Care,🍰,False
05-07,National Cosmopolitan Day,Food & Drink,🍸,False
05-07,Roast Leg of Lamb Day,Food & Drink,🍖,False
05-08,Coconut Cream Pie Day,Food & Drink,🥥,False
05-08,No Socks Day,Wellness & Self-Care,🦶,False
05-09,Lost Sock Memorial Day,Seasonal & Calendar,🧦,False
05-09,National Moscato Day,Food & Drink,🥂,False
05-10,Clean Up Your Room Day,Wellness & Self-Care,✨,False
05-10,Shrimp Day,Animals & Nature,🦐,False
05-11,Eat What You Want Day,Animals & Nature,😋,False
05-11,Twilight Zone Day,Arts & Culture,👁️,False
05-12,National Limerick Day,Arts & Culture,📝,False
05-12,Nutty Fudge Day,Food & Drink,🍫,False
05-13,Frog Jumping Day,Animals & Nature,🐸,False
05-13,World Cocktail Day,Food & Drink,🍸,False
05-14,Dance Like a Chicken Day,Food & Drink,🐔,False
05-14,National Llama Awareness Day,Animals & Nature,🦙,False
05-15,Bring Flowers to Someone Day,Animals & Nature,💐,False
05-15,National Chocolate Chip Day,Food & Drink,🍪,False
05-16,Love a Tree Day,Animals & Nature,🌳,False
05-16,Wear Purple for Peace Day,Awareness & Advocacy,☮️,False
05-17,Pack Rat Day,Animals & Nature,📦,False
05-17,World Baking Day,Fun & Weird (uncategorized),🍪,False
05-18,No Dirty Dishes Day,Wellness & Self-Care,🧼,False
05-18,Visit Your Relatives Day,Kindness & Relationships,👨‍👩‍👧‍👦,False
05-19,May-Ray Day,Fun & Weird (uncategorized),☀️,False
05-19,World Plant a Vegetable Garden Day,Food & Drink,🌱,False
05-20,Be a Millionaire Day,Fun & Weird (uncategorized),💰,False
05-20,Pick Strawberries Day,Food & Drink,🍓,False
05-21,I Need a Patch for That Day,Fun & Weird (uncategorized),🩹,False
05-21,Talk Like Yoda Day,Arts & Culture,👽,False
05-22,Buy a Musical Instrument Day,Arts & Culture,🎵,False
05-22,World Goth Day,Arts & Culture,🦇,False
05-23,Lucky Penny Day,Fun & Weird (uncategorized),🪙,False
05-23,World Turtle Day,Animals & Nature,🐢,False
05-24,Brother's Day,Kindness & Relationships,🤝,False
05-24,National Scavenger Hunt Day,Fun & Weird (uncategorized),🔍,False
05-25,National Wine Day,Food & Drink,🍷,False
05-25,Towel Day,Arts & Culture,🌌,False
05-26,Blueberry Cheesecake Day,Food & Drink,🍰,False
05-26,National Paper Airplane Day,Work & Technology,✈️,False
05-27,Cellophane Tape Day,Work & Technology,🩹,False
05-27,Sunscreen Day,Wellness & Self-Care,🧴,False
05-28,Brisket Day,Food & Drink,🥩,False
05-28,National Hamburger Day,Food & Drink,🍔,False
05-29,Paperclip Day,Work & Technology,📎,False
05-29,Put a Pillow on Your Fridge Day,Fun & Weird (uncategorized),🪶,False
05-30,Loomis Day,Fun & Weird (uncategorized),💰,False
05-30,National Mint Julep Day,Food & Drink,🍹,False
05-31,Macaroon Day,Food & Drink,🍪,False
05-31,Save Your Hearing Day,Awareness & Advocacy,👂,False
06-01,Dinosaur Day,Animals & Nature,🦖,False
06-01,National Say Something Nice Day,Kindness & Relationships,😊,False
06-02,Leave The Office Early Day,Work & Technology,🏃‍♂️,False
06-02,National Rotisserie Chicken Day,Food & Drink,🍗,False
06-03,National Egg Day,Food & Drink,🥚,False
06-03,Repeat Day,Fun & Weird (uncategorized),🔁,False
06-04,Hug Your Cat Day,Animals & Nature,🐱,False
06-04,National Cheese Day,Food & Drink,🧀,False
06-05,National Gingerbread Day,Food & Drink,🍪,False
06-05,National Moonshine Day,Food & Drink,🥃,False
06-06,Drive-In Movie Day,Arts & Culture,🎬,False
06-06,National Yo-Yo Day,Work & Technology,🪀,False
06-07,National Chocolate Ice Cream Day,Food & Drink,🍫,False
06-07,VCR Day,Work & Technology,📼,False
06-08,Best Friends Day,Kindness & Relationships,🤗,False
06-08,Name Your Poison Day,Fun & Weird (uncategorized),🍸,False
06-09,Donald Duck Day,Animals & Nature,🦆,False
06-09,National Strawberry Rhubarb Pie Day,Food & Drink,🥧,False
06-10,Ballpoint Pen Day,Work & Technology,🖊️,False
06-10,National Iced Tea Day,Food & Drink,🧊,False
06-11,Make Life Beautiful Day,Fun & Weird (uncategorized),✨,False
06-11,National Corn on the Cob Day,Food & Drink,🌽,False
06-12,National Peanut Butter Cookie Day,Food & Drink,🍪,False
06-12,Superman Day,Arts & Culture,🦸‍♂️,False
06-13,National Weed Your Garden Day,Animals & Nature,🌱,False
06-13,Random Acts of Light Day,Kindness & Relationships,💡,False
06-14,National Bourbon Day,Food & Drink,🥃,False
06-14,National Strawberry Shortcake Day,Food & Drink,🍓,False
06-15,Nature Photography Day,Work & Technology,📸,False
06-15,Smile Power Day,Fun & Weird (uncategorized),😊,False
06-16,Fresh Veggies Day,Food & Drink,🥦,False
06-16,National Fudge Day,Food & Drink,🍫,False
06-17,National Eat Your Vegetables Day,Food & Drink,🥦,False
06-17,World Crocodile Day,Animals & Nature,🐊,False
06-18,Go Fishing Day,Animals & Nature,🎣,False
06-18,International Sushi Day,Food & Drink,🍣,False
