Date,Affected pages
2025-12-14,16
2025-12-15,45
2025-12-16,45
2025-12-17,45
2025-12-18,45
2025-12-19,45
2025-12-20,45
2025-12-21,45
2025-12-22,45
2025-12-23,21
2025-12-24,21
2025-12-25,21
2025-12-26,21
2025-12-27,21
2025-12-28,21
2025-12-29,21
2025-12-30,21
2025-12-31,21
2026-01-01,21
2026-01-02,21
