Date,Affected pages
2025-12-14,74
2025-12-15,73
2025-12-16,73
2025-12-17,73
2025-12-18,73
2025-12-19,73
2025-12-20,73
2025-12-21,73
2025-12-22,73
2025-12-23,77
2025-12-24,77
2025-12-25,77
2025-12-26,77
2025-12-27,77
2025-12-28,77
2025-12-29,77
2025-12-30,77
2025-12-31,77
2026-01-01,77
2026-01-02,77
