Date,Affected pages
2025-12-14,0
2025-12-15,0
2025-12-16,0
2025-12-17,0
2025-12-18,0
2025-12-19,0
2025-12-20,0
2025-12-21,0
2025-12-22,0
2025-12-23,4
2025-12-24,4
2025-12-25,4
2025-12-26,4
2025-12-27,4
2025-12-28,4
2025-12-29,4
2025-12-30,4
2025-12-31,4
2026-01-01,4
2026-01-02,4
